commit	date	subject	tags	groups	file_count
8b7324f252dedfd71e84ba00d157b17923960a3e	2020-10-29	(Ada) Keep only file name in node label and update refernece dot files	area:src;area:tests;drop:frontend-other;src:frontend	src/frontend/OTHER;tests	47
1a96774f006731cf0fd514bba89a0245b64054e9	2020-10-29	(Release) Incremented version to 0.11.5.4	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
2cdcd61c267e6809e4835c7bf2e49098235adfc6	2020-10-28	Merge commit '16027eb02c1bd75c6fa62e8b6e4c45121acfe012' into HEAD			0
e82e060ffa31563027db19221d26fdcdf3c42613	2020-10-28	(Release) Incremented version to 0.11.5.3	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
3745c37a2756394c07c8ad82f7c0dfecee063e74	2020-10-28	(codethorn) removed Timer from codethorn main		projects	1
7441b736669f91d89c8b6083a2b45eb8c39dbbab	2020-10-28	(Ada) Added more reference dot files	area:tests	tests	17
ac177534f7fde0fd45d3597006cfd0c7f118d905	2020-10-28	Merge branch 'master' of rosecompiler1.llnl.gov:rose/scratch/rose into Ada			0
d8c6386591514865191072ed143ecd424783cf5f	2020-10-28	Merge commit 'bd8c61bbdbcfdac361b4b68614f0b5625b425238' into HEAD			0
8f669526e44c43581e8245aa9c1d74a6ad6dc7ca	2020-10-28	Merge pull request #22 from sourceryinstitute/implement-arrays			0
912122d80e7ad11ca6c79536b88ae4572f4862af	2020-10-28	Merge pull request #21 from sourceryinstitute/implement-more-intrinsic-types			0
11bba8683b703e72cccf43f94259c3c93aa99dad	2020-10-28	Merge pull request #20 from sourceryinstitute/implement-if-stmt			0
b78d6d25ed05b9ee4cfc8a76475dd1625dbc2ba2	2020-10-28	Merge pull request #19 from sourceryinstitute/implement-stop-stmt			0
7243b4defe7f91eb3a7bcfe55d65558ae463f4b0	2020-10-28	Merge pull request #18 from sourceryinstitute/implement-exit-stmt			0
26f01dd2ed103b6bc23fa55f357625c4a7e6ed02	2020-10-28	(Ada) Enhanced Ada dot file testing   1. keep only file name in Ada dot files   2. Revised the reference dot files	area:src;area:tests;drop:frontend-other;src:frontend	src/frontend/OTHER;tests	32
